     X (m)          Y (m)        Depth (m)
     72.2942       24.1336      -37.9750 
     12.2591       26.1565      -38.5340 
     24.2667       26.1451      -38.3431 
     44.2703       62.1586      -38.1704 
     38.2726       64.1015      -38.3806 
     40.2091       64.1374      -38.5476 
     26.2124       66.1490      -38.0168 
     34.2626       66.1704      -38.3670 
     50.3077       66.1824      -38.6932 
     54.2565       66.2204      -38.5113 
     46.2709       68.1448      -38.6792 
     58.2540       68.1831      -38.3879 
     62.2922       68.1674      -38.4398 
     32.2325       70.1634      -38.6927 
     48.3503       70.1738      -38.5437 
     50.2072       70.1376      -38.4151 
     64.2690       70.1312      -38.2292 
     82.2884       70.1180      -37.5050 
     86.2112       70.1372      -37.4745 
     32.3098       72.1758      -38.6019 
     60.2459       72.1901      -38.2222 
     62.2915       72.2296      -38.1762 
     66.1636       72.2084      -38.0676 
     74.2370       72.1275      -37.9813 
     82.3060       72.1121      -37.3949 
     86.2788       72.1213      -37.3941 
     88.2809       72.0749      -37.4167 
     24.2445       74.0562      -38.5857 
     28.2985       74.1325      -38.5876 
     30.2177       74.1560      -38.5792 
     32.3028       74.1678      -38.4702 
     44.2947       74.2463      -38.2176 
     52.2586       74.1838      -38.1390 
     54.2734       74.1417      -38.0142 
     56.3123       74.1418      -37.9895 
     66.1660       74.1322      -37.9109 
     72.2129       74.1381      -37.8753 
     76.2384       74.2239      -37.7584 
     88.2923       74.1432      -37.2658 
     90.2210       74.1689      -37.2873 
     36.2828       76.2218      -38.1568 
     38.2723       76.1316      -38.1096 
